disease,description1,description2,description3,description4,description5,description6,description7,description8,description9,description10
Magnesium deficiency,"I have diaper rash, disturbance of smell or taste, lacrimation, leg lump or mass, nasal congestion, pallor, scanty menstrual flow, seizures, sharp abdominal pain, sharp chest pain, vaginal redness, warts","I have diaper rash, disturbance of smell or taste, lacrimation, nasal congestion, pallor, scanty menstrual flow, sharp abdominal pain, sharp chest pain, warts","I have diaper rash, disturbance of smell or taste, lacrimation, leg lump or mass, scanty menstrual flow, seizures, sharp chest pain, vaginal redness","I have disturbance of smell or taste, lacrimation, leg lump or mass, nasal congestion, scanty menstrual flow, seizures, sharp abdominal pain, vaginal redness, warts","I have leg lump or mass, nasal congestion, scanty menstrual flow, seizures, sharp abdominal pain, sharp chest pain, vaginal redness, warts","I have leg lump or mass, nasal congestion, pallor, scanty menstrual flow, seizures, sharp abdominal pain, sharp chest pain, vaginal redness, warts","I have diaper rash, disturbance of smell or taste, lacrimation, pallor, scanty menstrual flow, sharp abdominal pain, vaginal redness, warts","I have diaper rash, disturbance of smell or taste, leg lump or mass, scanty menstrual flow, seizures, sharp abdominal pain, sharp chest pain, warts","I have diaper rash, disturbance of smell or taste, leg lump or mass, nasal congestion, pallor, scanty menstrual flow, seizures, sharp chest pain, vaginal redness","I have disturbance of smell or taste, lacrimation, leg lump or mass, pallor, scanty menstrual flow, sharp chest pain, vaginal redness, warts"
Malaria,"I have abusing alcohol, back mass or lump, excessive appetite, facial pain, feet turned in, hand or finger weakness, itchy ear(s), knee cramps or spasms, vaginal redness, vulvar irritation, warts, wrist swelling","I have abusing alcohol, back mass or lump, excessive appetite, facial pain, hand or finger weakness, itchy ear(s), knee cramps or spasms, vaginal redness, warts","I have abusing alcohol, excessive appetite, facial pain, feet turned in, itchy ear(s), knee cramps or spasms, vaginal redness, vulvar irritation, wrist swelling","I have abusing alcohol, back mass or lump, facial pain, feet turned in, hand or finger weakness, itchy ear(s), knee cramps or spasms, vaginal redness, warts","I have abusing alcohol, excessive appetite, facial pain, feet turned in, hand or finger weakness, itchy ear(s), vaginal redness, warts","I have abusing alcohol, excessive appetite, feet turned in, itchy ear(s), knee cramps or spasms, vaginal redness, vulvar irritation, warts","I have abusing alcohol, back mass or lump, excessive appetite, feet turned in, hand or finger weakness, itchy ear(s), knee cramps or spasms, vulvar irritation, wrist swelling","I have abusing alcohol, excessive appetite, facial pain, hand or finger weakness, itchy ear(s), knee cramps or spasms, vulvar irritation, wrist swelling","I have abusing alcohol, back mass or lump, excessive appetite, facial pain, feet turned in, hand or finger weakness, knee cramps or spasms, vulvar irritation","I have back mass or lump, excessive appetite, facial pain, feet turned in, itchy ear(s), vaginal redness, vulvar irritation, wrist swelling"
Male genitalia infection,"I have abdominal distention, breathing fast, groin mass, irregular heartbeat, lymphedema, pain in gums, penile discharge, penis pain, skin dryness, peeling, scaliness, or roughness, sweating, swelling of scrotum, vulvar sore","I have abdominal distention, breathing fast, groin mass, irregular heartbeat, lymphedema, penis pain, sweating, swelling of scrotum","I have abdominal distention, breathing fast, groin mass, lymphedema, penile discharge, penis pain, sweating, vulvar sore","I have abdominal distention, groin mass, irregular heartbeat, lymphedema, penile discharge, skin dryness, peeling, scaliness, or roughness, swelling of scrotum, vulvar sore","I have abdominal distention, breathing fast, groin mass, irregular heartbeat, pain in gums, penile discharge, penis pain, skin dryness, peeling, scaliness, or roughness, sweating","I have abdominal distention, groin mass, irregular heartbeat, lymphedema, penile discharge, penis pain, sweating, swelling of scrotum, vulvar sore","I have abdominal distention, breathing fast, irregular heartbeat, lymphedema, pain in gums, penile discharge, swelling of scrotum, vulvar sore","I have abdominal distention, irregular heartbeat, lymphedema, penile discharge, penis pain, skin dryness, peeling, scaliness, or roughness, swelling of scrotum, vulvar sore","I have breathing fast, groin mass, lymphedema, pain in gums, penis pain, skin dryness, peeling, scaliness, or roughness, sweating, swelling of scrotum, vulvar sore","I have abdominal distention, breathing fast, pain in gums, penis pain, skin dryness, peeling, scaliness, or roughness, sweating, swelling of scrotum, vulvar sore"
Malignant hypertension,"I have depression, disturbance of smell or taste, flushing, hand or finger weakness, infrequent menstruation, long menstrual periods, lower abdominal pain, penis redness, scanty menstrual flow, sharp abdominal pain, sharp chest pain, vaginal redness","I have depression, disturbance of smell or taste, hand or finger weakness, infrequent menstruation, long menstrual periods, scanty menstrual flow, sharp abdominal pain, sharp chest pain","I have depression, disturbance of smell or taste, flushing, hand or finger weakness, lower abdominal pain, scanty menstrual flow, sharp abdominal pain, sharp chest pain, vaginal redness","I have infrequent menstruation, long menstrual periods, lower abdominal pain, penis redness, scanty menstrual flow, sharp abdominal pain, sharp chest pain, vaginal redness","I have depression, disturbance of smell or taste, infrequent menstruation, long menstrual periods, lower abdominal pain, scanty menstrual flow, sharp abdominal pain, sharp chest pain","I have depression, disturbance of smell or taste, flushing, lower abdominal pain, scanty menstrual flow, sharp abdominal pain, sharp chest pain, vaginal redness","I have depression, flushing, hand or finger weakness, long menstrual periods, lower abdominal pain, penis redness, scanty menstrual flow, sharp abdominal pain, sharp chest pain","I have depression, flushing, hand or finger weakness, infrequent menstruation, long menstrual periods, lower abdominal pain, penis redness, sharp chest pain, vaginal redness","I have disturbance of smell or taste, flushing, long menstrual periods, lower abdominal pain, penis redness, scanty menstrual flow, sharp chest pain, vaginal redness","I have depression, disturbance of smell or taste, flushing, hand or finger weakness, infrequent menstruation, long menstrual periods, sharp abdominal pain, vaginal redness"
Marfan syndrome,"I have abusing alcohol, antisocial behavior, blood clots during menstrual periods, delusions or hallucinations, elbow weakness, flushing, headache, incontinence of stool, itching of skin, shoulder lump or mass, skin rash, stiffness all over","I have blood clots during menstrual periods, delusions or hallucinations, elbow weakness, flushing, headache, itching of skin, shoulder lump or mass, skin rash, stiffness all over","I have abusing alcohol, antisocial behavior, blood clots during menstrual periods, delusions or hallucinations, elbow weakness, incontinence of stool, skin rash, stiffness all over","I have abusing alcohol, antisocial behavior, blood clots during menstrual periods, elbow weakness, flushing, headache, incontinence of stool, itching of skin, stiffness all over","I have abusing alcohol, antisocial behavior, blood clots during menstrual periods, delusions or hallucinations, elbow weakness, headache, shoulder lump or mass, skin rash, stiffness all over","I have abusing alcohol, antisocial behavior, delusions or hallucinations, flushing, headache, incontinence of stool, itching of skin, skin rash","I have abusing alcohol, antisocial behavior, blood clots during menstrual periods, delusions or hallucinations, elbow weakness, flushing, headache, incontinence of stool, shoulder lump or mass","I have blood clots during menstrual periods, delusions or hallucinations, elbow weakness, flushing, incontinence of stool, itching of skin, shoulder lump or mass, skin rash","I have antisocial behavior, delusions or hallucinations, elbow weakness, flushing, headache, itching of skin, shoulder lump or mass, stiffness all over","I have abusing alcohol, antisocial behavior, blood clots during menstrual periods, delusions or hallucinations, elbow weakness, itching of skin, shoulder lump or mass, stiffness all over"
Marijuana abuse,"I have absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, drainage in throat, emotional symptoms, fatigue, hoarse voice, low back weakness, symptoms of the scrotum and testes","I have absence of menstruation, decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, drainage in throat, emotional symptoms, fatigue, hoarse voice","I have absence of menstruation, antisocial behavior, decreased heart rate, drainage in throat, emotional symptoms, fatigue, hoarse voice, low back weakness, symptoms of the scrotum and testes","I have antisocial behavior, decreased heart rate, delusions or hallucinations, difficulty in swallowing, fatigue, hoarse voice, low back weakness, symptoms of the scrotum and testes","I have absence of menstruation, decreased heart rate, delusions or hallucinations, drainage in throat, emotional symptoms, fatigue, hoarse voice, low back weakness","I have absence of menstruation, antisocial behavior, decreased heart rate, depression, difficulty in swallowing, hoarse voice, low back weakness, symptoms of the scrotum and testes","I have absence of menstruation, antisocial behavior, decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, emotional symptoms, low back weakness","I have absence of menstruation, antisocial behavior, delusions or hallucinations, difficulty in swallowing, drainage in throat, fatigue, hoarse voice, symptoms of the scrotum and testes","I have antisocial behavior, decreased heart rate, delusions or hallucinations, depression, difficulty in swallowing, drainage in throat, fatigue, low back weakness","I have antisocial behavior, decreased heart rate, delusions or hallucinations, drainage in throat, emotional symptoms, fatigue, low back weakness, symptoms of the scrotum and testes"
Mastectomy,"I have arm pain, burning abdominal pain, hand or finger pain, headache, lacrimation, lump in throat, pain of the anus, problems with orgasm, redness in or around nose, skin rash, slurring words, swollen eye","I have arm pain, burning abdominal pain, hand or finger pain, pain of the anus, problems with orgasm, redness in or around nose, skin rash, swollen eye","I have arm pain, burning abdominal pain, lacrimation, pain of the anus, problems with orgasm, skin rash, slurring words, swollen eye","I have burning abdominal pain, headache, lacrimation, lump in throat, pain of the anus, problems with orgasm, redness in or around nose, skin rash","I have arm pain, hand or finger pain, lacrimation, lump in throat, pain of the anus, problems with orgasm, redness in or around nose, skin rash, slurring words, swollen eye","I have arm pain, burning abdominal pain, hand or finger pain, lacrimation, lump in throat, pain of the anus, problems with orgasm, skin rash, slurring words, swollen eye","I have arm pain, burning abdominal pain, hand or finger pain, headache, pain of the anus, problems with orgasm, skin rash, slurring words","I have lacrimation, lump in throat, pain of the anus, problems with orgasm, redness in or around nose, skin rash, slurring words, swollen eye","I have arm pain, burning abdominal pain, hand or finger pain, headache, lacrimation, problems with orgasm, redness in or around nose, swollen eye","I have arm pain, burning abdominal pain, hand or finger pain, headache, lacrimation, problems with orgasm, redness in or around nose, slurring words, swollen eye"
Mastoiditis,"I have coryza, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, eyelid swelling, feet turned in, flu-like syndrome, hand or finger weakness, nailbiting, peripheral edema, rectal bleeding, rib pain","I have disturbance of smell or taste, dry or flaky scalp, eyelid swelling, flu-like syndrome, hand or finger weakness, nailbiting, peripheral edema, rectal bleeding","I have coryza, difficulty speaking, dry or flaky scalp, feet turned in, flu-like syndrome, hand or finger weakness, nailbiting, rectal bleeding, rib pain","I have difficulty speaking, disturbance of smell or taste, dry or flaky scalp, eyelid swelling, flu-like syndrome, hand or finger weakness, nailbiting, peripheral edema, rectal bleeding, rib pain","I have coryza, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, hand or finger weakness, nailbiting, peripheral edema, rib pain","I have coryza, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, feet turned in, hand or finger weakness, nailbiting, peripheral edema","I have coryza, difficulty speaking, dry or flaky scalp, eyelid swelling, feet turned in, hand or finger weakness, nailbiting, peripheral edema, rectal bleeding, rib pain","I have coryza, difficulty speaking, disturbance of smell or taste, eyelid swelling, feet turned in, hand or finger weakness, peripheral edema, rectal bleeding, rib pain","I have coryza, difficulty speaking, dry or flaky scalp, eyelid swelling, feet turned in, hand or finger weakness, nailbiting, rectal bleeding, rib pain","I have coryza, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, hand or finger weakness, peripheral edema, rib pain"
Meckel diverticulum,"I have back weakness, excessive appetite, eye redness, joint pain, knee cramps or spasms, loss of sensation, low urine output, nausea, pelvic pain, shoulder stiffness or tightness, unwanted hair, vulvar irritation","I have back weakness, excessive appetite, joint pain, loss of sensation, low urine output, nausea, pelvic pain, unwanted hair","I have back weakness, excessive appetite, eye redness, joint pain, loss of sensation, nausea, shoulder stiffness or tightness, unwanted hair","I have back weakness, excessive appetite, eye redness, knee cramps or spasms, loss of sensation, low urine output, shoulder stiffness or tightness, vulvar irritation","I have back weakness, excessive appetite, eye redness, joint pain, knee cramps or spasms, loss of sensation, nausea, shoulder stiffness or tightness, unwanted hair","I have back weakness, eye redness, joint pain, loss of sensation, low urine output, nausea, pelvic pain, vulvar irritation","I have back weakness, excessive appetite, eye redness, joint pain, knee cramps or spasms, loss of sensation, pelvic pain, shoulder stiffness or tightness, vulvar irritation","I have back weakness, excessive appetite, knee cramps or spasms, loss of sensation, low urine output, pelvic pain, shoulder stiffness or tightness, unwanted hair","I have joint pain, knee cramps or spasms, loss of sensation, low urine output, nausea, pelvic pain, shoulder stiffness or tightness, unwanted hair","I have excessive appetite, eye redness, joint pain, knee cramps or spasms, loss of sensation, shoulder stiffness or tightness, unwanted hair, vulvar irritation"
Melanoma,"I have abdominal distention, back cramps or spasms, irregular appearing nails, itchy ear(s), sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin oiliness, skin rash, swollen eye","I have abdominal distention, back cramps or spasms, irregular appearing nails, itchy ear(s), sinus congestion, skin growth, skin oiliness, skin rash","I have abdominal distention, back cramps or spasms, irregular appearing nails, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin oiliness, swollen eye","I have itchy ear(s), sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin oiliness, skin rash","I have abdominal distention, irregular appearing nails, itchy ear(s), skin dryness, peeling, scaliness, or roughness, skin growth, skin lesion, skin rash, swollen eye","I have abdominal distention, back cramps or spasms, itchy ear(s), skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin oiliness, skin rash, swollen eye","I have itchy ear(s), sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin lesion, skin oiliness, skin rash, swollen eye","I have back cramps or spasms, itchy ear(s), skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin oiliness, swollen eye","I have abdominal distention, back cramps or spasms, irregular appearing nails, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin rash, swollen eye","I have back cramps or spasms, irregular appearing nails, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin growth, skin irritation, skin lesion, skin oiliness, skin rash, swollen eye"
Meniere disease,"I have acne or pimples, bladder mass, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, eyelid swelling, hand or finger weakness, headache, hysterical behavior, nasal congestion, peripheral edema, rib pain","I have bladder mass, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, eyelid swelling, hand or finger weakness, nasal congestion, peripheral edema, rib pain","I have acne or pimples, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, eyelid swelling, hysterical behavior, nasal congestion, peripheral edema, rib pain","I have acne or pimples, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, eyelid swelling, hand or finger weakness, nasal congestion, rib pain","I have disturbance of smell or taste, dry or flaky scalp, hand or finger weakness, headache, hysterical behavior, nasal congestion, peripheral edema, rib pain","I have acne or pimples, bladder mass, disturbance of smell or taste, dry or flaky scalp, eyelid swelling, headache, hysterical behavior, rib pain","I have acne or pimples, bladder mass, difficulty speaking, dry or flaky scalp, eyelid swelling, hysterical behavior, nasal congestion, rib pain","I have acne or pimples, bladder mass, disturbance of smell or taste, dry or flaky scalp, headache, hysterical behavior, nasal congestion, peripheral edema","I have acne or pimples, dry or flaky scalp, eyelid swelling, hand or finger weakness, headache, nasal congestion, peripheral edema, rib pain","I have acne or pimples, bladder mass, difficulty speaking, disturbance of smell or taste, dry or flaky scalp, eyelid swelling, hysterical behavior, rib pain"
Meningioma,"I have depression, difficulty in swallowing, difficulty speaking, diminished hearing, discharge in stools, disturbance of smell or taste, eyelid swelling, flushing, hand or finger weakness, nasal congestion, scanty menstrual flow, warts","I have depression, difficulty in swallowing, difficulty speaking, diminished hearing, flushing, hand or finger weakness, nasal congestion, scanty menstrual flow","I have difficulty in swallowing, difficulty speaking, disturbance of smell or taste, eyelid swelling, flushing, hand or finger weakness, nasal congestion, scanty menstrual flow, warts","I have depression, difficulty in swallowing, diminished hearing, disturbance of smell or taste, eyelid swelling, flushing, nasal congestion, scanty menstrual flow","I have depression, difficulty in swallowing, discharge in stools, eyelid swelling, flushing, hand or finger weakness, nasal congestion, scanty menstrual flow, warts","I have depression, difficulty in swallowing, difficulty speaking, disturbance of smell or taste, eyelid swelling, flushing, nasal congestion, scanty menstrual flow","I have depression, difficulty in swallowing, difficulty speaking, diminished hearing, disturbance of smell or taste, eyelid swelling, scanty menstrual flow, warts","I have depression, difficulty speaking, diminished hearing, discharge in stools, disturbance of smell or taste, eyelid swelling, flushing, nasal congestion, warts","I have depression, diminished hearing, discharge in stools, disturbance of smell or taste, eyelid swelling, flushing, nasal congestion, scanty menstrual flow, warts","I have depression, discharge in stools, eyelid swelling, flushing, hand or finger weakness, nasal congestion, scanty menstrual flow, warts"
Meningitis,"I have abusing alcohol, back mass or lump, coryza, feet turned in, hand or finger weakness, leg lump or mass, low back cramps or spasms, nasal congestion, neck mass, neck pain, scanty menstrual flow, vaginal redness","I have abusing alcohol, back mass or lump, feet turned in, low back cramps or spasms, nasal congestion, neck mass, neck pain, scanty menstrual flow, vaginal redness","I have abusing alcohol, back mass or lump, hand or finger weakness, low back cramps or spasms, nasal congestion, neck mass, neck pain, scanty menstrual flow, vaginal redness","I have abusing alcohol, back mass or lump, coryza, feet turned in, leg lump or mass, low back cramps or spasms, scanty menstrual flow, vaginal redness","I have abusing alcohol, back mass or lump, coryza, feet turned in, hand or finger weakness, nasal congestion, neck mass, scanty menstrual flow","I have abusing alcohol, back mass or lump, feet turned in, hand or finger weakness, leg lump or mass, nasal congestion, neck mass, neck pain, scanty menstrual flow","I have abusing alcohol, back mass or lump, coryza, low back cramps or spasms, nasal congestion, neck pain, scanty menstrual flow, vaginal redness","I have abusing alcohol, coryza, feet turned in, leg lump or mass, low back cramps or spasms, nasal congestion, neck mass, scanty menstrual flow, vaginal redness","I have back mass or lump, feet turned in, hand or finger weakness, leg lump or mass, low back cramps or spasms, neck mass, neck pain, vaginal redness","I have back mass or lump, coryza, feet turned in, leg lump or mass, nasal congestion, neck pain, scanty menstrual flow, vaginal redness"
Menopause,"I have abnormal size or shape of ear, heartburn, hostile behavior, intermenstrual bleeding, lip swelling, loss of sensation, paresthesia, suprapubic pain, underweight, vaginal discharge, vaginal dryness, weakness","I have heartburn, hostile behavior, intermenstrual bleeding, lip swelling, loss of sensation, paresthesia, suprapubic pain, underweight, vaginal dryness","I have abnormal size or shape of ear, hostile behavior, intermenstrual bleeding, loss of sensation, paresthesia, underweight, vaginal dryness, weakness","I have abnormal size or shape of ear, heartburn, hostile behavior, intermenstrual bleeding, lip swelling, loss of sensation, paresthesia, suprapubic pain, weakness","I have abnormal size or shape of ear, heartburn, hostile behavior, intermenstrual bleeding, lip swelling, paresthesia, suprapubic pain, underweight, vaginal dryness, weakness","I have abnormal size or shape of ear, heartburn, hostile behavior, intermenstrual bleeding, lip swelling, loss of sensation, paresthesia, suprapubic pain, vaginal discharge","I have abnormal size or shape of ear, heartburn, hostile behavior, lip swelling, paresthesia, suprapubic pain, underweight, vaginal discharge","I have abnormal size or shape of ear, heartburn, hostile behavior, intermenstrual bleeding, lip swelling, paresthesia, underweight, vaginal discharge, weakness","I have abnormal size or shape of ear, hostile behavior, intermenstrual bleeding, lip swelling, loss of sensation, paresthesia, underweight, vaginal dryness, weakness","I have abnormal size or shape of ear, heartburn, intermenstrual bleeding, lip swelling, loss of sensation, suprapubic pain, vaginal discharge, vaginal dryness"
Metabolic disorder,"I have arm pain, difficulty breathing, increased heart rate, itchy scalp, melena, muscle cramps, contractures, or spasms, problems with orgasm, recent pregnancy, ringing in ear, slurring words, toothache, weakness","I have arm pain, difficulty breathing, increased heart rate, itchy scalp, melena, muscle cramps, contractures, or spasms, problems with orgasm, ringing in ear, slurring words, toothache","I have arm pain, increased heart rate, melena, muscle cramps, contractures, or spasms, problems with orgasm, recent pregnancy, ringing in ear, slurring words, toothache","I have arm pain, difficulty breathing, increased heart rate, itchy scalp, melena, problems with orgasm, recent pregnancy, ringing in ear, toothache, weakness","I have arm pain, difficulty breathing, increased heart rate, melena, problems with orgasm, recent pregnancy, ringing in ear, slurring words, weakness","I have difficulty breathing, increased heart rate, itchy scalp, melena, problems with orgasm, recent pregnancy, ringing in ear, slurring words, toothache","I have arm pain, difficulty breathing, itchy scalp, muscle cramps, contractures, or spasms, problems with orgasm, ringing in ear, slurring words, toothache, weakness","I have arm pain, difficulty breathing, itchy scalp, melena, muscle cramps, contractures, or spasms, problems with orgasm, recent pregnancy, ringing in ear, slurring words, weakness","I have arm pain, difficulty breathing, increased heart rate, itchy scalp, problems with orgasm, recent pregnancy, ringing in ear, slurring words, toothache","I have difficulty breathing, increased heart rate, itchy scalp, melena, problems with orgasm, recent pregnancy, ringing in ear, slurring words, weakness"
Missed abortion,"I have blindness, blood clots during menstrual periods, coughing up sputum, heartburn, infant spitting up, insomnia, low urine output, pain during intercourse, premenstrual tension or irritability, pus in urine, seizures, spots or clouds in vision","I have blood clots during menstrual periods, coughing up sputum, insomnia, low urine output, pain during intercourse, premenstrual tension or irritability, pus in urine, seizures, spots or clouds in vision","I have blindness, blood clots during menstrual periods, coughing up sputum, infant spitting up, insomnia, premenstrual tension or irritability, pus in urine, spots or clouds in vision","I have blindness, blood clots during menstrual periods, coughing up sputum, low urine output, pain during intercourse, pus in urine, seizures, spots or clouds in vision","I have blood clots during menstrual periods, coughing up sputum, heartburn, infant spitting up, insomnia, low urine output, pain during intercourse, pus in urine","I have blood clots during menstrual periods, coughing up sputum, infant spitting up, insomnia, low urine output, premenstrual tension or irritability, pus in urine, seizures, spots or clouds in vision","I have coughing up sputum, heartburn, infant spitting up, low urine output, pain during intercourse, pus in urine, seizures, spots or clouds in vision","I have blindness, blood clots during menstrual periods, coughing up sputum, heartburn, insomnia, premenstrual tension or irritability, pus in urine, seizures","I have blindness, blood clots during menstrual periods, coughing up sputum, heartburn, infant spitting up, insomnia, seizures, spots or clouds in vision","I have blindness, coughing up sputum, heartburn, infant spitting up, low urine output, premenstrual tension or irritability, pus in urine, spots or clouds in vision"
Mitral valve disease,"I have changes in stool appearance, disturbance of smell or taste, double vision, fainting, incontinence of stool, irregular belly button, neck weakness, pallor, sharp abdominal pain, sharp chest pain, suprapubic pain, weakness","I have changes in stool appearance, disturbance of smell or taste, double vision, fainting, incontinence of stool, irregular belly button, neck weakness, sharp chest pain, suprapubic pain, weakness","I have disturbance of smell or taste, fainting, incontinence of stool, irregular belly button, neck weakness, pallor, sharp abdominal pain, suprapubic pain, weakness","I have changes in stool appearance, disturbance of smell or taste, double vision, neck weakness, pallor, sharp abdominal pain, sharp chest pain, weakness","I have changes in stool appearance, disturbance of smell or taste, double vision, fainting, incontinence of stool, neck weakness, pallor, sharp chest pain, suprapubic pain, weakness","I have changes in stool appearance, disturbance of smell or taste, double vision, fainting, incontinence of stool, neck weakness, sharp abdominal pain, suprapubic pain, weakness","I have changes in stool appearance, double vision, fainting, incontinence of stool, irregular belly button, neck weakness, sharp chest pain, suprapubic pain, weakness","I have disturbance of smell or taste, double vision, fainting, incontinence of stool, irregular belly button, neck weakness, sharp abdominal pain, suprapubic pain","I have changes in stool appearance, disturbance of smell or taste, double vision, incontinence of stool, irregular belly button, neck weakness, pallor, sharp chest pain, suprapubic pain","I have changes in stool appearance, disturbance of smell or taste, double vision, fainting, incontinence of stool, irregular belly button, neck weakness, sharp abdominal pain, sharp chest pain, weakness"
Mittelschmerz,"I have ache all over, bumps on penis, diaper rash, feet turned in, intermenstrual bleeding, lip swelling, low urine output, pain or soreness of breast, paresthesia, seizures, shoulder weakness, vaginal redness","I have ache all over, bumps on penis, diaper rash, intermenstrual bleeding, pain or soreness of breast, paresthesia, seizures, shoulder weakness","I have bumps on penis, diaper rash, feet turned in, lip swelling, low urine output, paresthesia, shoulder weakness, vaginal redness","I have ache all over, bumps on penis, intermenstrual bleeding, lip swelling, low urine output, pain or soreness of breast, shoulder weakness, vaginal redness","I have ache all over, bumps on penis, diaper rash, feet turned in, intermenstrual bleeding, paresthesia, shoulder weakness, vaginal redness","I have ache all over, bumps on penis, intermenstrual bleeding, lip swelling, low urine output, pain or soreness of breast, seizures, shoulder weakness","I have ache all over, diaper rash, intermenstrual bleeding, low urine output, pain or soreness of breast, paresthesia, shoulder weakness, vaginal redness","I have ache all over, feet turned in, intermenstrual bleeding, lip swelling, low urine output, pain or soreness of breast, seizures, shoulder weakness, vaginal redness","I have bumps on penis, diaper rash, intermenstrual bleeding, low urine output, pain or soreness of breast, paresthesia, seizures, shoulder weakness, vaginal redness","I have ache all over, bumps on penis, feet turned in, lip swelling, paresthesia, seizures, shoulder weakness, vaginal redness"
Molluscum contagiosum,"I have abdominal distention, ache all over, arm cramps or spasms, breathing fast, itching of scrotum, knee cramps or spasms, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin pain, skin rash, vulvar sore","I have abdominal distention, ache all over, arm cramps or spasms, breathing fast, knee cramps or spasms, sinus congestion, skin rash, vulvar sore","I have arm cramps or spasms, breathing fast, itching of scrotum, knee cramps or spasms, sinus congestion, skin irritation, skin pain, skin rash, vulvar sore","I have abdominal distention, ache all over, arm cramps or spasms, skin dryness, peeling, scaliness, or roughness, skin irritation, skin pain, skin rash, vulvar sore","I have ache all over, breathing fast, itching of scrotum, knee cramps or spasms, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin rash, vulvar sore","I have ache all over, arm cramps or spasms, breathing fast, itching of scrotum, knee cramps or spasms, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin rash, vulvar sore","I have abdominal distention, ache all over, arm cramps or spasms, breathing fast, itching of scrotum, knee cramps or spasms, skin pain, vulvar sore","I have ache all over, arm cramps or spasms, breathing fast, itching of scrotum, skin dryness, peeling, scaliness, or roughness, skin irritation, skin rash, vulvar sore","I have abdominal distention, ache all over, arm cramps or spasms, knee cramps or spasms, sinus congestion, skin dryness, peeling, scaliness, or roughness, skin irritation, skin pain, skin rash, vulvar sore","I have ache all over, arm cramps or spasms, breathing fast, itching of scrotum, skin dryness, peeling, scaliness, or roughness, skin pain, skin rash, vulvar sore"
Mononeuritis,"I have allergic reaction, arm lump or mass, elbow lump or mass, foot or toe lump or mass, hand or finger lump or mass, hand or finger swelling, leg lump or mass, long menstrual periods, low back cramps or spasms, palpitations, shoulder lump or mass, wrist lump or mass","I have allergic reaction, arm lump or mass, elbow lump or mass, foot or toe lump or mass, long menstrual periods, low back cramps or spasms, shoulder lump or mass, wrist lump or mass","I have arm lump or mass, foot or toe lump or mass, hand or finger lump or mass, hand or finger swelling, leg lump or mass, long menstrual periods, low back cramps or spasms, wrist lump or mass","I have arm lump or mass, elbow lump or mass, foot or toe lump or mass, hand or finger lump or mass, hand or finger swelling, leg lump or mass, palpitations, shoulder lump or mass, wrist lump or mass","I have arm lump or mass, elbow lump or mass, hand or finger lump or mass, hand or finger swelling, long menstrual periods, low back cramps or spasms, palpitations, wrist lump or mass","I have allergic reaction, elbow lump or mass, hand or finger swelling, leg lump or mass, long menstrual periods, low back cramps or spasms, shoulder lump or mass, wrist lump or mass","I have allergic reaction, arm lump or mass, elbow lump or mass, hand or finger lump or mass, hand or finger swelling, leg lump or mass, long menstrual periods, low back cramps or spasms, shoulder lump or mass, wrist lump or mass","I have allergic reaction, arm lump or mass, elbow lump or mass, foot or toe lump or mass, hand or finger swelling, long menstrual periods, shoulder lump or mass, wrist lump or mass","I have allergic reaction, elbow lump or mass, foot or toe lump or mass, hand or finger swelling, leg lump or mass, low back cramps or spasms, shoulder lump or mass, wrist lump or mass","I have arm lump or mass, elbow lump or mass, foot or toe lump or mass, leg lump or mass, long menstrual periods, low back cramps or spasms, palpitations, shoulder lump or mass, wrist lump or mass"
