prognosis,symptoms_description
Abscess of the pharynx,"I have acne or pimples, coryza, difficulty eating, dry or flaky scalp, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, sore in nose, throat redness"
Abscess of the pharynx,"I have acne or pimples, coryza, cough, dry or flaky scalp, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain"
Abscess of the pharynx,"I have coryza, cough, difficulty eating, dry or flaky scalp, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, throat redness"
Abscess of the pharynx,"I have coryza, difficulty eating, dry or flaky scalp, feeling hot and cold, hand or finger weakness, nailbiting, sharp abdominal pain, throat redness"
Abscess of the pharynx,"I have acne or pimples, coryza, cough, dry or flaky scalp, feeling hot and cold, feet turned in, sharp abdominal pain, sore in nose, throat redness"
Abscess of the pharynx,"I have acne or pimples, coryza, cough, difficulty eating, dry or flaky scalp, feeling hot and cold, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain"
Abscess of the pharynx,"I have acne or pimples, coryza, cough, difficulty eating, dry or flaky scalp, hand or finger weakness, nailbiting, sharp abdominal pain, sore in nose, throat redness"
Abscess of the pharynx,"I have acne or pimples, coryza, cough, feeling hot and cold, feet turned in, hand or finger weakness, sharp abdominal pain, sore in nose"
Abscess of the pharynx,"I have acne or pimples, coryza, cough, difficulty eating, feeling hot and cold, feet turned in, hand or finger weakness, nailbiting, sharp abdominal pain, throat redness"
Primary thrombocythemia,"I have absence of menstruation, disturbance of smell or taste, fainting, fever, fluid in ear, frequent menstruation, jaw swelling, muscle cramps, contractures, or spasms, pain in testicles, recent weight loss, suprapubic pain, symptoms of bladder"
Primary thrombocythemia,"I have absence of menstruation, disturbance of smell or taste, frequent menstruation, jaw swelling, muscle cramps, contractures, or spasms, recent weight loss, suprapubic pain, symptoms of bladder"
Primary thrombocythemia,"I have absence of menstruation, disturbance of smell or taste, fever, frequent menstruation, jaw swelling, recent weight loss, suprapubic pain, symptoms of bladder"
Primary thrombocythemia,"I have absence of menstruation, disturbance of smell or taste, fainting, fever, fluid in ear, frequent menstruation, muscle cramps, contractures, or spasms, pain in testicles, suprapubic pain"
Primary thrombocythemia,"I have absence of menstruation, disturbance of smell or taste, fainting, fever, fluid in ear, muscle cramps, contractures, or spasms, recent weight loss, symptoms of bladder"
Primary thrombocythemia,"I have absence of menstruation, fainting, fluid in ear, frequent menstruation, jaw swelling, recent weight loss, suprapubic pain, symptoms of bladder"
Primary thrombocythemia,"I have absence of menstruation, disturbance of smell or taste, fainting, fever, frequent menstruation, muscle cramps, contractures, or spasms, pain in testicles, recent weight loss, symptoms of bladder"
Primary thrombocythemia,"I have absence of menstruation, fluid in ear, frequent menstruation, jaw swelling, pain in testicles, recent weight loss, suprapubic pain, symptoms of bladder"
Primary thrombocythemia,"I have disturbance of smell or taste, fluid in ear, frequent menstruation, jaw swelling, muscle cramps, contractures, or spasms, pain in testicles, suprapubic pain, symptoms of bladder"
Primary thrombocythemia,"I have absence of menstruation, fainting, fever, fluid in ear, jaw swelling, muscle cramps, contractures, or spasms, pain in testicles, recent weight loss"
Arthritis of the hip,"I have abusing alcohol, back mass or lump, groin mass, hip lump or mass, hip pain, jaw swelling, knee lump or mass, leg lump or mass, low back cramps or spasms, lower abdominal pain, paresthesia, problems during pregnancy"
Arthritis of the hip,"I have abusing alcohol, groin mass, hip lump or mass, hip pain, jaw swelling, knee lump or mass, leg lump or mass, problems during pregnancy"
Arthritis of the hip,"I have back mass or lump, groin mass, hip lump or mass, hip pain, jaw swelling, knee lump or mass, lower abdominal pain, problems during pregnancy"
Arthritis of the hip,"I have abusing alcohol, back mass or lump, hip lump or mass, jaw swelling, knee lump or mass, leg lump or mass, low back cramps or spasms, lower abdominal pain"
Arthritis of the hip,"I have abusing alcohol, back mass or lump, groin mass, hip lump or mass, knee lump or mass, low back cramps or spasms, lower abdominal pain, paresthesia"
Arthritis of the hip,"I have abusing alcohol, groin mass, hip pain, knee lump or mass, leg lump or mass, low back cramps or spasms, lower abdominal pain, paresthesia, problems during pregnancy"
Arthritis of the hip,"I have abusing alcohol, groin mass, hip pain, jaw swelling, knee lump or mass, leg lump or mass, low back cramps or spasms, lower abdominal pain, paresthesia, problems during pregnancy"
Arthritis of the hip,"I have abusing alcohol, back mass or lump, jaw swelling, knee lump or mass, low back cramps or spasms, lower abdominal pain, paresthesia, problems during pregnancy"
Arthritis of the hip,"I have abusing alcohol, groin mass, hip lump or mass, jaw swelling, knee lump or mass, leg lump or mass, low back cramps or spasms, paresthesia, problems during pregnancy"
Arthritis of the hip,"I have abusing alcohol, groin mass, jaw swelling, knee lump or mass, leg lump or mass, low back cramps or spasms, lower abdominal pain, paresthesia"
Hypernatremia,"I have abusing alcohol, anxiety and nervousness, depression, diarrhea, facial pain, feet turned in, fluid in ear, heartburn, problems during pregnancy, sharp chest pain, vaginal redness, warts"
Hypernatremia,"I have abusing alcohol, anxiety and nervousness, depression, facial pain, feet turned in, heartburn, problems during pregnancy, sharp chest pain, warts"
Hypernatremia,"I have anxiety and nervousness, diarrhea, feet turned in, fluid in ear, problems during pregnancy, sharp chest pain, vaginal redness, warts"
Hypernatremia,"I have abusing alcohol, anxiety and nervousness, depression, diarrhea, facial pain, feet turned in, fluid in ear, heartburn, warts"
Hypernatremia,"I have abusing alcohol, anxiety and nervousness, facial pain, feet turned in, fluid in ear, heartburn, sharp chest pain, warts"
Hypernatremia,"I have abusing alcohol, anxiety and nervousness, depression, facial pain, feet turned in, fluid in ear, problems during pregnancy, warts"
Hypernatremia,"I have depression, diarrhea, facial pain, fluid in ear, heartburn, problems during pregnancy, sharp chest pain, vaginal redness, warts"
Hypernatremia,"I have depression, diarrhea, facial pain, fluid in ear, heartburn, sharp chest pain, vaginal redness, warts"
Hypernatremia,"I have abusing alcohol, depression, diarrhea, facial pain, feet turned in, heartburn, vaginal redness, warts"
Hypernatremia,"I have abusing alcohol, anxiety and nervousness, depression, diarrhea, feet turned in, fluid in ear, heartburn, sharp chest pain, vaginal redness, warts"
Sensorineural hearing loss,"I have difficulty speaking, disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, hip weakness, itching of the anus, nailbiting, neck cramps or spasms, peripheral edema, rectal bleeding, rib pain, thirst"
Sensorineural hearing loss,"I have disturbance of smell or taste, dry or flaky scalp, itching of the anus, nailbiting, neck cramps or spasms, peripheral edema, rectal bleeding, rib pain, thirst"
Sensorineural hearing loss,"I have difficulty speaking, disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, hip weakness, itching of the anus, neck cramps or spasms, peripheral edema, thirst"
Sensorineural hearing loss,"I have dry or flaky scalp, flu-like syndrome, hip weakness, nailbiting, neck cramps or spasms, peripheral edema, rib pain, thirst"
Sensorineural hearing loss,"I have disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, hip weakness, itching of the anus, neck cramps or spasms, peripheral edema, rib pain, thirst"
Sensorineural hearing loss,"I have difficulty speaking, disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, hip weakness, itching of the anus, nailbiting, thirst"
Sensorineural hearing loss,"I have difficulty speaking, disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, hip weakness, itching of the anus, nailbiting, rib pain, thirst"
Sensorineural hearing loss,"I have difficulty speaking, disturbance of smell or taste, dry or flaky scalp, hip weakness, itching of the anus, nailbiting, neck cramps or spasms, rectal bleeding"
Sensorineural hearing loss,"I have disturbance of smell or taste, dry or flaky scalp, flu-like syndrome, hip weakness, itching of the anus, nailbiting, rib pain, thirst"
Sensorineural hearing loss,"I have difficulty speaking, dry or flaky scalp, flu-like syndrome, itching of the anus, nailbiting, neck cramps or spasms, rectal bleeding, rib pain, thirst"
Osteoporosis,"I have back mass or lump, blood in urine, discharge in stools, ear pain, excessive growth, hip lump or mass, jaw swelling, lacrimation, low back pain, mass or swelling around the anus, mouth ulcer, stiffness all over"
Osteoporosis,"I have back mass or lump, blood in urine, ear pain, excessive growth, jaw swelling, low back pain, mass or swelling around the anus, stiffness all over"
Osteoporosis,"I have back mass or lump, blood in urine, discharge in stools, ear pain, excessive growth, jaw swelling, lacrimation, low back pain, stiffness all over"
Osteoporosis,"I have blood in urine, ear pain, excessive growth, hip lump or mass, jaw swelling, lacrimation, low back pain, mass or swelling around the anus, mouth ulcer, stiffness all over"
Osteoporosis,"I have blood in urine, discharge in stools, ear pain, excessive growth, hip lump or mass, jaw swelling, lacrimation, low back pain, mass or swelling around the anus"
Osteoporosis,"I have back mass or lump, discharge in stools, ear pain, hip lump or mass, jaw swelling, lacrimation, low back pain, mass or swelling around the anus, stiffness all over"
Osteoporosis,"I have back mass or lump, ear pain, excessive growth, hip lump or mass, jaw swelling, lacrimation, low back pain, mass or swelling around the anus, mouth ulcer"
Osteoporosis,"I have back mass or lump, blood in urine, discharge in stools, ear pain, lacrimation, low back pain, mass or swelling around the anus, mouth ulcer, stiffness all over"
Osteoporosis,"I have back mass or lump, blood in urine, ear pain, hip lump or mass, low back pain, mass or swelling around the anus, mouth ulcer, stiffness all over"
Osteoporosis,"I have back mass or lump, blood in urine, discharge in stools, ear pain, excessive growth, hip lump or mass, lacrimation, low back pain"
Ileus,"I have bumps on penis, congestion in chest, diaper rash, hand or finger weakness, low urine output, nasal congestion, pain in testicles, seizures, shoulder weakness, stiffness all over, unwanted hair, vaginal redness"
Ileus,"I have bumps on penis, congestion in chest, diaper rash, nasal congestion, pain in testicles, seizures, shoulder weakness, stiffness all over, vaginal redness"
Ileus,"I have bumps on penis, congestion in chest, diaper rash, hand or finger weakness, nasal congestion, pain in testicles, stiffness all over, unwanted hair"
Ileus,"I have congestion in chest, diaper rash, hand or finger weakness, low urine output, seizures, shoulder weakness, unwanted hair, vaginal redness"
Ileus,"I have bumps on penis, congestion in chest, diaper rash, low urine output, nasal congestion, pain in testicles, stiffness all over, unwanted hair, vaginal redness"
Ileus,"I have bumps on penis, diaper rash, hand or finger weakness, low urine output, seizures, shoulder weakness, stiffness all over, unwanted hair, vaginal redness"
Ileus,"I have bumps on penis, diaper rash, hand or finger weakness, low urine output, nasal congestion, pain in testicles, seizures, shoulder weakness, unwanted hair"
Ileus,"I have bumps on penis, diaper rash, hand or finger weakness, nasal congestion, pain in testicles, shoulder weakness, stiffness all over, unwanted hair, vaginal redness"
Ileus,"I have bumps on penis, hand or finger weakness, pain in testicles, seizures, shoulder weakness, stiffness all over, unwanted hair, vaginal redness"
Ileus,"I have congestion in chest, diaper rash, hand or finger weakness, nasal congestion, pain in testicles, seizures, shoulder weakness, unwanted hair"
Sickle cell crisis,"I have abusing alcohol, arm lump or mass, back mass or lump, bumps on penis, feet turned in, hip lump or mass, knee lump or mass, leg lump or mass, low back cramps or spasms, seizures, sharp abdominal pain, vaginal redness"
Sickle cell crisis,"I have abusing alcohol, arm lump or mass, back mass or lump, bumps on penis, feet turned in, hip lump or mass, leg lump or mass, seizures, vaginal redness"
Sickle cell crisis,"I have abusing alcohol, arm lump or mass, back mass or lump, bumps on penis, feet turned in, hip lump or mass, knee lump or mass, leg lump or mass, low back cramps or spasms, seizures"
Sickle cell crisis,"I have abusing alcohol, arm lump or mass, back mass or lump, bumps on penis, feet turned in, hip lump or mass, knee lump or mass, sharp abdominal pain, vaginal redness"
Sickle cell crisis,"I have arm lump or mass, back mass or lump, bumps on penis, feet turned in, hip lump or mass, leg lump or mass, low back cramps or spasms, seizures"
Sickle cell crisis,"I have abusing alcohol, arm lump or mass, back mass or lump, hip lump or mass, knee lump or mass, leg lump or mass, low back cramps or spasms, seizures"
Sickle cell crisis,"I have abusing alcohol, arm lump or mass, back mass or lump, feet turned in, hip lump or mass, knee lump or mass, seizures, sharp abdominal pain, vaginal redness"
Sickle cell crisis,"I have abusing alcohol, arm lump or mass, bumps on penis, knee lump or mass, leg lump or mass, seizures, sharp abdominal pain, vaginal redness"
Sickle cell crisis,"I have abusing alcohol, arm lump or mass, back mass or lump, bumps on penis, hip lump or mass, seizures, sharp abdominal pain, vaginal redness"
Sickle cell crisis,"I have arm lump or mass, back mass or lump, bumps on penis, feet turned in, hip lump or mass, low back cramps or spasms, seizures, sharp abdominal pain, vaginal redness"
Urethritis,"I have blood in stool, frequent menstruation, itching of scrotum, pain in gums, painful sinuses, paresthesia, pelvic pressure, penile discharge, restlessness, seizures, stuttering or stammering, vaginal dryness"
Urethritis,"I have blood in stool, itching of scrotum, pain in gums, painful sinuses, paresthesia, pelvic pressure, penile discharge, restlessness, stuttering or stammering"
Urethritis,"I have blood in stool, painful sinuses, paresthesia, pelvic pressure, penile discharge, seizures, stuttering or stammering, vaginal dryness"
Urethritis,"I have blood in stool, frequent menstruation, itching of scrotum, pain in gums, paresthesia, penile discharge, restlessness, seizures, vaginal dryness"
Urethritis,"I have blood in stool, frequent menstruation, itching of scrotum, pain in gums, painful sinuses, pelvic pressure, restlessness, seizures, stuttering or stammering"
Urethritis,"I have blood in stool, frequent menstruation, itching of scrotum, painful sinuses, pelvic pressure, restlessness, seizures, vaginal dryness"
Urethritis,"I have blood in stool, frequent menstruation, itching of scrotum, pain in gums, pelvic pressure, penile discharge, restlessness, seizures, vaginal dryness"
Urethritis,"I have frequent menstruation, itching of scrotum, pain in gums, painful sinuses, paresthesia, pelvic pressure, restlessness, stuttering or stammering, vaginal dryness"
Urethritis,"I have itching of scrotum, pain in gums, painful sinuses, pelvic pressure, penile discharge, restlessness, seizures, stuttering or stammering"
Urethritis,"I have blood in stool, frequent menstruation, pain in gums, painful sinuses, pelvic pressure, penile discharge, seizures, vaginal dryness"
Prostatitis,"I have back mass or lump, blood in stool, chest tightness, feet turned in, frequent menstruation, hysterical behavior, low urine output, pain in gums, painful sinuses, restlessness, seizures, symptoms of infants"
Prostatitis,"I have back mass or lump, blood in stool, chest tightness, feet turned in, frequent menstruation, hysterical behavior, low urine output, seizures"
Prostatitis,"I have chest tightness, feet turned in, hysterical behavior, low urine output, pain in gums, painful sinuses, restlessness, seizures, symptoms of infants"
Prostatitis,"I have back mass or lump, chest tightness, feet turned in, frequent menstruation, hysterical behavior, pain in gums, restlessness, seizures"
Prostatitis,"I have back mass or lump, blood in stool, chest tightness, feet turned in, frequent menstruation, low urine output, painful sinuses, restlessness, seizures, symptoms of infants"
Prostatitis,"I have back mass or lump, blood in stool, feet turned in, hysterical behavior, low urine output, restlessness, seizures, symptoms of infants"
Prostatitis,"I have blood in stool, feet turned in, hysterical behavior, low urine output, pain in gums, restlessness, seizures, symptoms of infants"
Prostatitis,"I have back mass or lump, blood in stool, feet turned in, frequent menstruation, hysterical behavior, low urine output, pain in gums, restlessness, seizures"
Prostatitis,"I have back mass or lump, blood in stool, chest tightness, frequent menstruation, hysterical behavior, low urine output, pain in gums, painful sinuses, restlessness, symptoms of infants"
Prostatitis,"I have back mass or lump, blood in stool, chest tightness, hysterical behavior, low urine output, painful sinuses, restlessness, seizures, symptoms of infants"
Otitis externa (swimmer's ear),"I have bladder mass, coryza, difficulty speaking, dry or flaky scalp, eyelid swelling, feet turned in, flu-like syndrome, itching of the anus, peripheral edema, rectal bleeding, rib pain, sore in nose"
Otitis externa (swimmer's ear),"I have bladder mass, dry or flaky scalp, eyelid swelling, feet turned in, flu-like syndrome, itching of the anus, peripheral edema, rectal bleeding, rib pain"
Otitis externa (swimmer's ear),"I have dry or flaky scalp, eyelid swelling, feet turned in, flu-like syndrome, itching of the anus, peripheral edema, rectal bleeding, rib pain"
Otitis externa (swimmer's ear),"I have bladder mass, coryza, difficulty speaking, dry or flaky scalp, feet turned in, itching of the anus, peripheral edema, rectal bleeding, sore in nose"
Otitis externa (swimmer's ear),"I have bladder mass, coryza, difficulty speaking, eyelid swelling, feet turned in, itching of the anus, peripheral edema, rib pain, sore in nose"
Otitis externa (swimmer's ear),"I have bladder mass, coryza, dry or flaky scalp, feet turned in, flu-like syndrome, itching of the anus, peripheral edema, rib pain, sore in nose"
Otitis externa (swimmer's ear),"I have bladder mass, coryza, difficulty speaking, feet turned in, flu-like syndrome, rectal bleeding, rib pain, sore in nose"
Otitis externa (swimmer's ear),"I have bladder mass, coryza, dry or flaky scalp, eyelid swelling, feet turned in, itching of the anus, peripheral edema, sore in nose"
Otitis externa (swimmer's ear),"I have bladder mass, coryza, difficulty speaking, dry or flaky scalp, feet turned in, flu-like syndrome, itching of the anus, rectal bleeding, rib pain"
Otitis externa (swimmer's ear),"I have bladder mass, coryza, difficulty speaking, dry or flaky scalp, eyelid swelling, feet turned in, rectal bleeding, rib pain"
Poisoning due to anticonvulsants,"I have delusions or hallucinations, difficulty in swallowing, disturbance of smell or taste, feeling hot and cold, hand or finger weakness, itching of scrotum, pain during pregnancy, problems during pregnancy, rib pain, scanty menstrual flow, sleepwalking, vaginal redness"
Poisoning due to anticonvulsants,"I have disturbance of smell or taste, feeling hot and cold, hand or finger weakness, pain during pregnancy, problems during pregnancy, rib pain, scanty menstrual flow, vaginal redness"
Poisoning due to anticonvulsants,"I have delusions or hallucinations, disturbance of smell or taste, feeling hot and cold, hand or finger weakness, problems during pregnancy, rib pain, scanty menstrual flow, vaginal redness"
Poisoning due to anticonvulsants,"I have delusions or hallucinations, disturbance of smell or taste, feeling hot and cold, hand or finger weakness, itching of scrotum, pain during pregnancy, problems during pregnancy, rib pain"
Poisoning due to anticonvulsants,"I have difficulty in swallowing, feeling hot and cold, hand or finger weakness, itching of scrotum, problems during pregnancy, scanty menstrual flow, sleepwalking, vaginal redness"
Poisoning due to anticonvulsants,"I have delusions or hallucinations, disturbance of smell or taste, hand or finger weakness, itching of scrotum, pain during pregnancy, scanty menstrual flow, sleepwalking, vaginal redness"
Poisoning due to anticonvulsants,"I have delusions or hallucinations, disturbance of smell or taste, feeling hot and cold, pain during pregnancy, problems during pregnancy, scanty menstrual flow, sleepwalking, vaginal redness"
Poisoning due to anticonvulsants,"I have delusions or hallucinations, difficulty in swallowing, disturbance of smell or taste, feeling hot and cold, hand or finger weakness, itching of scrotum, problems during pregnancy, rib pain, vaginal redness"
Poisoning due to anticonvulsants,"I have delusions or hallucinations, difficulty in swallowing, disturbance of smell or taste, feeling hot and cold, hand or finger weakness, itching of scrotum, rib pain, scanty menstrual flow, sleepwalking"
Poisoning due to anticonvulsants,"I have difficulty in swallowing, disturbance of smell or taste, hand or finger weakness, itching of scrotum, pain during pregnancy, rib pain, scanty menstrual flow, sleepwalking, vaginal redness"
Testicular torsion,"I have back mass or lump, bumps on penis, early or late onset of menopause, elbow swelling, elbow weakness, itchiness of eye, muscle stiffness or tightness, muscle weakness, pain in gums, seizures, sweating, symptoms of the kidneys"
Testicular torsion,"I have back mass or lump, bumps on penis, elbow swelling, elbow weakness, itchiness of eye, muscle stiffness or tightness, seizures, sweating"
Testicular torsion,"I have back mass or lump, bumps on penis, itchiness of eye, muscle stiffness or tightness, muscle weakness, pain in gums, seizures, sweating"
Testicular torsion,"I have back mass or lump, bumps on penis, elbow swelling, itchiness of eye, muscle stiffness or tightness, muscle weakness, pain in gums, seizures, symptoms of the kidneys"
Testicular torsion,"I have back mass or lump, bumps on penis, elbow weakness, muscle stiffness or tightness, pain in gums, seizures, sweating, symptoms of the kidneys"
Testicular torsion,"I have back mass or lump, early or late onset of menopause, elbow swelling, elbow weakness, pain in gums, seizures, sweating, symptoms of the kidneys"
Testicular torsion,"I have back mass or lump, bumps on penis, early or late onset of menopause, elbow weakness, itchiness of eye, muscle stiffness or tightness, muscle weakness, seizures, sweating"
Testicular torsion,"I have back mass or lump, early or late onset of menopause, elbow swelling, elbow weakness, muscle stiffness or tightness, seizures, sweating, symptoms of the kidneys"
Testicular torsion,"I have back mass or lump, bumps on penis, early or late onset of menopause, elbow swelling, elbow weakness, itchiness of eye, muscle stiffness or tightness, seizures, sweating"
Testicular torsion,"I have back mass or lump, early or late onset of menopause, elbow weakness, itchiness of eye, muscle weakness, pain in gums, seizures, symptoms of the kidneys"
Tricuspid valve disease,"I have antisocial behavior, back mass or lump, cramps and spasms, double vision, early or late onset of menopause, elbow swelling, elbow weakness, excessive appetite, hip pain, itchy ear(s), muscle weakness, wrist swelling"
Tricuspid valve disease,"I have antisocial behavior, back mass or lump, cramps and spasms, double vision, early or late onset of menopause, excessive appetite, hip pain, wrist swelling"
Tricuspid valve disease,"I have antisocial behavior, back mass or lump, cramps and spasms, double vision, early or late onset of menopause, hip pain, itchy ear(s), muscle weakness, wrist swelling"
Tricuspid valve disease,"I have antisocial behavior, back mass or lump, cramps and spasms, early or late onset of menopause, elbow swelling, elbow weakness, hip pain, muscle weakness"
Tricuspid valve disease,"I have antisocial behavior, back mass or lump, cramps and spasms, double vision, early or late onset of menopause, elbow swelling, elbow weakness, excessive appetite, muscle weakness"
Tricuspid valve disease,"I have antisocial behavior, back mass or lump, cramps and spasms, elbow swelling, elbow weakness, hip pain, itchy ear(s), muscle weakness"
Tricuspid valve disease,"I have antisocial behavior, cramps and spasms, double vision, elbow swelling, elbow weakness, excessive appetite, hip pain, muscle weakness"
Tricuspid valve disease,"I have back mass or lump, cramps and spasms, double vision, elbow weakness, hip pain, itchy ear(s), muscle weakness, wrist swelling"
Tricuspid valve disease,"I have antisocial behavior, back mass or lump, double vision, early or late onset of menopause, elbow swelling, elbow weakness, excessive appetite, hip pain, muscle weakness"
Tricuspid valve disease,"I have antisocial behavior, back mass or lump, cramps and spasms, double vision, early or late onset of menopause, elbow weakness, hip pain, muscle weakness, wrist swelling"
Urethral stricture,"I have blood in stool, excessive growth, frequent menstruation, intermenstrual bleeding, painful sinuses, penis pain, restlessness, stuttering or stammering, sweating, swollen tongue, symptoms of infants, symptoms of the kidneys"
Urethral stricture,"I have blood in stool, excessive growth, frequent menstruation, intermenstrual bleeding, painful sinuses, restlessness, swollen tongue, symptoms of infants, symptoms of the kidneys"
Urethral stricture,"I have blood in stool, excessive growth, frequent menstruation, intermenstrual bleeding, painful sinuses, penis pain, sweating, symptoms of infants"
Urethral stricture,"I have blood in stool, excessive growth, frequent menstruation, painful sinuses, sweating, swollen tongue, symptoms of infants, symptoms of the kidneys"
Urethral stricture,"I have blood in stool, excessive growth, frequent menstruation, intermenstrual bleeding, painful sinuses, penis pain, sweating, symptoms of infants, symptoms of the kidneys"
Urethral stricture,"I have blood in stool, excessive growth, frequent menstruation, intermenstrual bleeding, penis pain, stuttering or stammering, sweating, swollen tongue, symptoms of the kidneys"
Urethral stricture,"I have blood in stool, excessive growth, frequent menstruation, painful sinuses, restlessness, stuttering or stammering, swollen tongue, symptoms of infants, symptoms of the kidneys"
Urethral stricture,"I have blood in stool, excessive growth, frequent menstruation, intermenstrual bleeding, restlessness, stuttering or stammering, sweating, symptoms of infants, symptoms of the kidneys"
Urethral stricture,"I have intermenstrual bleeding, penis pain, restlessness, stuttering or stammering, sweating, swollen tongue, symptoms of infants, symptoms of the kidneys"
Urethral stricture,"I have blood in stool, excessive growth, frequent menstruation, penis pain, restlessness, stuttering or stammering, swollen tongue, symptoms of the kidneys"
Vitamin D deficiency,"I have arm pain, back pain, fainting, feeling cold, hostile behavior, infertility, jaw swelling, mass or swelling around the anus, melena, skin growth, slurring words, weakness"
Vitamin D deficiency,"I have fainting, feeling cold, infertility, jaw swelling, mass or swelling around the anus, skin growth, slurring words, weakness"
Vitamin D deficiency,"I have arm pain, fainting, feeling cold, hostile behavior, infertility, skin growth, slurring words, weakness"
Vitamin D deficiency,"I have arm pain, back pain, feeling cold, infertility, jaw swelling, mass or swelling around the anus, melena, slurring words, weakness"
Vitamin D deficiency,"I have arm pain, back pain, fainting, hostile behavior, infertility, jaw swelling, mass or swelling around the anus, melena, weakness"
Vitamin D deficiency,"I have back pain, feeling cold, hostile behavior, infertility, mass or swelling around the anus, melena, skin growth, slurring words, weakness"
Vitamin D deficiency,"I have arm pain, back pain, fainting, feeling cold, hostile behavior, infertility, melena, skin growth, slurring words, weakness"
Vitamin D deficiency,"I have arm pain, back pain, fainting, infertility, melena, skin growth, slurring words, weakness"
Vitamin D deficiency,"I have arm pain, fainting, feeling cold, hostile behavior, infertility, jaw swelling, melena, skin growth, slurring words, weakness"
Vitamin D deficiency,"I have fainting, feeling cold, hostile behavior, infertility, mass or swelling around the anus, melena, skin growth, weakness"
Hydatidiform mole,"I have bumps on penis, diminished hearing, disturbance of smell or taste, low back cramps or spasms, nasal congestion, pain during intercourse, paresthesia, premenstrual tension or irritability, seizures, shoulder weakness, spots or clouds in vision, vaginal redness"
Hydatidiform mole,"I have bumps on penis, diminished hearing, disturbance of smell or taste, low back cramps or spasms, paresthesia, premenstrual tension or irritability, seizures, vaginal redness"
Hydatidiform mole,"I have diminished hearing, disturbance of smell or taste, low back cramps or spasms, paresthesia, premenstrual tension or irritability, seizures, shoulder weakness, spots or clouds in vision, vaginal redness"
Hydatidiform mole,"I have bumps on penis, diminished hearing, disturbance of smell or taste, low back cramps or spasms, nasal congestion, pain during intercourse, paresthesia, premenstrual tension or irritability, seizures"
Hydatidiform mole,"I have bumps on penis, diminished hearing, disturbance of smell or taste, low back cramps or spasms, paresthesia, premenstrual tension or irritability, shoulder weakness, spots or clouds in vision"
Hydatidiform mole,"I have diminished hearing, disturbance of smell or taste, low back cramps or spasms, nasal congestion, pain during intercourse, paresthesia, shoulder weakness, vaginal redness"
Hydatidiform mole,"I have bumps on penis, low back cramps or spasms, nasal congestion, pain during intercourse, premenstrual tension or irritability, seizures, shoulder weakness, vaginal redness"
Hydatidiform mole,"I have bumps on penis, disturbance of smell or taste, low back cramps or spasms, nasal congestion, pain during intercourse, premenstrual tension or irritability, shoulder weakness, vaginal redness"
Hydatidiform mole,"I have bumps on penis, disturbance of smell or taste, nasal congestion, pain during intercourse, paresthesia, shoulder weakness, spots or clouds in vision, vaginal redness"
Hydatidiform mole,"I have bumps on penis, diminished hearing, disturbance of smell or taste, low back cramps or spasms, pain during intercourse, seizures, shoulder weakness, spots or clouds in vision"
Pain disorder affecting the neck,"I have arm lump or mass, back mass or lump, discharge in stools, disturbance of smell or taste, hand or finger weakness, infrequent menstruation, long menstrual periods, low back cramps or spasms, neck mass, neck pain, palpitations, shoulder lump or mass"
Pain disorder affecting the neck,"I have arm lump or mass, back mass or lump, discharge in stools, hand or finger weakness, infrequent menstruation, long menstrual periods, low back cramps or spasms, neck pain, shoulder lump or mass"
Pain disorder affecting the neck,"I have arm lump or mass, discharge in stools, disturbance of smell or taste, infrequent menstruation, long menstrual periods, low back cramps or spasms, neck pain, shoulder lump or mass"
Pain disorder affecting the neck,"I have back mass or lump, discharge in stools, disturbance of smell or taste, infrequent menstruation, long menstrual periods, low back cramps or spasms, neck mass, shoulder lump or mass"
Pain disorder affecting the neck,"I have discharge in stools, disturbance of smell or taste, hand or finger weakness, long menstrual periods, low back cramps or spasms, neck mass, neck pain, palpitations, shoulder lump or mass"
Pain disorder affecting the neck,"I have arm lump or mass, back mass or lump, discharge in stools, infrequent menstruation, low back cramps or spasms, neck mass, neck pain, palpitations, shoulder lump or mass"
Pain disorder affecting the neck,"I have arm lump or mass, back mass or lump, hand or finger weakness, infrequent menstruation, long menstrual periods, low back cramps or spasms, neck mass, neck pain, palpitations"
Pain disorder affecting the neck,"I have back mass or lump, disturbance of smell or taste, hand or finger weakness, infrequent menstruation, long menstrual periods, neck mass, palpitations, shoulder lump or mass"
Pain disorder affecting the neck,"I have arm lump or mass, back mass or lump, discharge in stools, hand or finger weakness, infrequent menstruation, long menstrual periods, low back cramps or spasms, shoulder lump or mass"
Pain disorder affecting the neck,"I have arm lump or mass, back mass or lump, disturbance of smell or taste, hand or finger weakness, long menstrual periods, low back cramps or spasms, neck mass, neck pain, palpitations"
Pelvic fistula,"I have back mass or lump, disturbance of smell or taste, early or late onset of menopause, elbow swelling, facial pain, headache, itchiness of eye, muscle stiffness or tightness, muscle weakness, pus in urine, recent weight loss, vaginal bleeding after menopause"
